                                         The SAS System     11:42 Thursday, November 1, 2001   1

                    Obs     env     rep    block    entry     line     yield
                    283    96AME     3        1       93     K575-3     37.0
                    284    96AME     3        8       94     K511-2     27.9
                    285    96AME     3        5       95     K557-2     29.5
                    286    96NAS     1        9        1     K475-1     31.7
                    287    96NAS     1       12        2     K478-1     37.2
                    288    96NAS     1        7        3     K483-1     32.7
                    289    96NAS     1        5        4     K489-1     37.1
                    290    96NAS     1        1        5     K490-1     29.2
                    291    96NAS     1       10        6     K492-1     30.3
                    292    96NAS     1        8        7     K493-1     43.1
                    293    96NAS     1        1        8     K498-1     18.7
                    294    96NAS     1        4        9     K499-1     23.5
                    295    96NAS     1        4       10     K500-1     33.4
                    296    96NAS     1       11       11     K505-1     30.3
                    297    96NAS     1       12       12     K507-1     32.2
                    298    96NAS     1        2       13     K510-1     35.3
                    299    96NAS     1        4       14     K528-1     37.2
                    300    96NAS     1        2       15     K530-1     20.1
                                         The SAS System     11:42 Thursday, November 1, 2001   7

                    Obs     env     rep    block    entry     line     yield

                    301    96NAS     1        7       16     K533-1     22.2
                    302    96NAS     1        8       17     K535-1     25.5
                    303    96NAS     1        3       18     K536-1     32.2
                    304    96NAS     1       11       19     K538-1     27.3
                    305    96NAS     1        6       20     K546-1     24.6
                    306    96NAS     1        3       21     K551-1     33.7
                    307    96NAS     1        2       22     K553-1     42.1
                    308    96NAS     1       10       23     K555-1     17.8
                    309    96NAS     1        7       24     K557-1     25.2
                    310    96NAS     1        5       25     K567-1     26.2
                    311    96NAS     1        7       26     K569-1     35.0
                    312    96NAS     1        2       27     K571-1     33.4
                    313    96NAS     1        7       28     K576-1     34.7
                    314    96NAS     1        1       29     K577-1     31.7
                    315    96NAS     1        3       30     K468-2     28.7
                    316    96NAS     1        9       31     K480-2     34.3
                    317    96NAS     1       11       32     K487-2     38.7
                    318    96NAS     1       10       33     K490-2     37.0
                    319    96NAS     1        6       34     K492-2     34.6
                    320    96NAS     1       10       35     K494-2     55.6
                    321    96NAS     1        8       36     K495-2     34.5
                    322    96NAS     1        6       37     K497-2     35.5
                    323    96NAS     1        4       38     K498-2     35.1
                    324    96NAS     1        2       39     K499-2     33.5
                    325    96NAS     1        1       40     K514-2     22.3
                    326    96NAS     1       12       41     K507-2     35.5
                    327    96NAS     1        7       42     K508-2     27.3
                    328    96NAS     1        6       43     K515-2     35.8
                    329    96NAS     1        8       44     K573-4     29.5
                    330    96NAS     1        6       45     K524-2     29.2
                    331    96NAS     1        9       46     K525-2     27.7
                    332    96NAS     1       10       47     K534-2     35.9
                    333    96NAS     1        1       48     K542-2     24.1
                    334    96NAS     1        3       49     K543-2     32.1
                    335    96NAS     1        3       50     K555-2     41.1
                    336    96NAS     1        3       51     K561-2     29.0
                    337    96NAS     1        9       52     K566-2     41.7
                    338    96NAS     1        6       53     K569-2     33.5
                    339    96NAS     1       10       54     K573-2     35.5
                    340    96NAS     1       10       55     K577-2     35.4
                    341    96NAS     1        1       56     K469-3     22.5
